start,end,posture,orientation
01:07.8,02:36.2,l,1
02:36.2,06:49.2,l,2
06:49.2,08:51.5,other,5
08:51.5,09:48.1,l,1
09:48.1,09:55.1,carry,5
09:55.1,13:11.8,l,2
13:11.8,13:15.9,carry,5
13:15.9,13:35.3,l,1
