start,end,posture,orientation
00:10.2,01:18.4,carry,5
01:18.4,01:22.0,w,2
01:21.8,01:29.5,st,1
01:29.0,01:51.9,carry,5
01:51.9,03:13.0,other,5
03:13.0,03:37.2,st,1
03:37.2,04:50.0,si,3
04:50.0,04:52.0,st,3
04:52.0,04:54.6,w,3
04:54.6,05:13.0,carry,5
05:13.0,05:51.4,other,5
05:51.0,06:29.9,carry,5
