start,end,posture,orientation
00:23.1,00:26.5,c,3
00:26.5,00:43.3,si,3
00:43.3,01:00.5,si,2
01:00.5,01:27.9,si,1
01:27.9,01:39.4,si,3
01:39.4,01:57.5,c,3
01:57.5,02:12.3,si,2
02:12.3,02:22.2,c,1
02:22.2,02:41.5,si,2
02:41.5,02:57.3,c,1
02:57.3,03:07.7,si,3
03:07.7,03:34.1,si,2
03:34.1,03:56.6,c,3
03:56.6,04:00.0,c,1
04:00.0,04:07.8,si,2
04:07.8,04:19.6,c,3
04:19.6,04:27.5,si,3
04:27.5,04:35.5,c,3
04:35.5,04:38.0,c,0
04:38.1,04:43.1,si,0
04:43.1,04:49.6,c,1
04:49.6,05:14.0,c,3
