start,end,posture,orientation
00:35.0,03:31.9,si,3
03:31.9,05:38.9,si,1
05:38.9,10:02.4,si,2
10:02.4,10:20.8,si,2
10:20.8,10:33.3,si,1
10:33.3,11:13.0,si,2
11:13.0,11:35.5,carry,5
11:35.5,14:16.7,si,3
14:16.7,14:32.0,carry,5
14:32.0,14:38.2,si,3
14:38.2,14:41.8,si,2
14:41.8,14:50.5,carry,5
14:50.5,15:17.4,si,2
