start,end,posture,orientation
03:19.3,11:29.4,si,1
11:29.4,11:38.8,w,1
11:38.8,12:04.6,other,5
12:04.6,12:08.5,si,1
12:08.5,12:20.8,w,1
12:20.8,12:42.1,st,1
