start,end,posture,orientation
00:03.1,00:25.9,si,2
00:25.9,00:37.3,si,1
00:37.3,00:53.8,si,3
00:53.8,01:03.5,c,1
01:03.5,01:47.6,si,2
01:47.6,02:46.1,si,3
02:46.1,03:04.7,c,3
03:04.7,03:46.3,si,3
03:46.3,04:06.9,c,1
04:06.9,06:12.3,si,3
06:12.3,06:41.0,c,2
06:41.0,06:56.9,si,3
06:56.9,09:18.8,si,1
09:18.8,09:27.0,c,2
09:27.0,10:34.7,si,0
10:34.7,10:45.4,c,0
10:45.4,11:47.3,si,0
11:47.3,12:08.1,c,0
12:08.1,12:21.8,si,2
12:21.8,12:28.1,si,1
12:28.1,13:40.3,si,0
13:40.3,14:05.0,c,1
14:05.0,14:12.5,si,3
