start,end,posture,orientation
02:37.3,04:41.8,si,2
04:41.8,05:02.6,c,3
05:02.6,05:37.6,si,1
05:37.6,08:05.2,other,5
08:05.2,09:48.4,si,2
09:48.4,09:53.1,st,3
09:53.1,10:02.6,si,0
10:02.6,10:12.1,st,0
10:12.1,11:13.2,st,2
11:13.2,11:21.0,st,1
11:21.0,11:27.3,st,2
11:27.3,11:30.9,st,1
11:30.9,11:33.6,w,0
11:33.6,12:03.8,st,0
12:03.8,12:12.5,st,3
12:12.5,12:16.4,w,0
12:16.4,12:20.0,st,3
12:20.0,12:30.3,st,1
12:30.3,12:34.3,st,3
12:34.3,13:21.7,st,1
13:21.7,13:25.2,st,0
13:25.2,13:38.8,w,0
13:38.8,13:53.4,w,2
13:53.4,14:19.3,si,1
14:19.4,14:27.9,c,0
14:27.9,15:13.3,si,2
