start,end,posture,orientation
01:25.0,01:31.6,w,0
01:31.6,01:41.1,other,5
01:41.1,01:56.6,w,0
01:56.6,02:11.7,other,5
02:11.7,02:13.5,st,1
02:13.5,02:26.6,other,5
02:26.6,02:29.7,w,2
02:28.6,02:44.6,st,0
02:44.6,02:52.8,w,1
02:52.8,03:08.2,w,0
03:08.2,03:10.7,w,1
03:10.7,03:23.1,si,3
03:23.1,03:49.5,st,3
03:49.5,04:00.3,w,0
04:00.3,04:05.2,w,1
04:05.2,04:10.1,st,3
04:10.1,04:52.2,w,0
04:52.2,04:57.3,w,1
04:57.3,05:14.3,si,3
05:14.3,05:47.9,w,0
05:47.9,05:49.4,w,1
05:49.4,06:15.6,si,3
06:15.6,06:26.4,st,2
06:26.4,06:39.2,si,1
06:39.2,07:18.5,st,1
07:18.5,07:35.2,si,2
07:35.2,07:42.6,st,3
07:42.6,09:01.7,st,2
09:01.7,09:20.2,w,0
09:20.2,09:48.4,st,3
09:48.4,10:31.8,st,2
10:31.8,10:36.1,w,3
10:36.1,10:43.8,st,2
10:43.8,10:57.7,st,1
10:57.7,11:01.6,w,2
11:01.6,11:48.8,w,0
11:48.8,12:27.3,other,5
12:27.3,12:39.4,st,2
12:39.4,12:59.4,st,1
12:59.4,13:02.5,w,1
13:02.5,13:21.5,st,2
13:21.5,13:30.2,si,1
13:30.2,13:47.7,c,2
13:47.7,14:00.7,st,1
14:00.8,14:21.3,st,3
14:21.3,14:36.9,st,1
14:36.9,14:52.4,st,3
14:52.4,15:23.4,other,5
15:23.4,15:32.9,w,0
15:32.9,15:53.2,st,3
15:53.2,16:06.0,w,3
16:06.0,16:12.2,c,3
16:12.2,16:25.0,st,2
16:25.0,16:31.2,st,3
16:31.2,16:48.1,st,1
16:48.1,16:57.4,st,2
16:57.4,17:17.4,si,3
17:17.4,17:21.5,w,3
17:21.5,17:56.9,st,1
17:56.9,17:57.1,st,3
