frame,time
1,0.063
2,0.096
3,0.128
4,0.160
5,0.225
6,0.257
7,0.289
8,0.321
9,0.386
10,0.418
11,0.450
12,0.483
13,0.547
14,0.579
15,0.612
16,0.644
17,0.708
18,0.741
19,0.773
20,0.805
21,0.870
22,0.902
23,0.934
24,0.966
25,1.031
26,1.063
27,1.096
28,1.128
29,1.192
30,1.225
31,1.257
32,1.289
33,1.354
34,1.386
35,1.418
36,1.450
37,1.515
38,1.547
39,1.579
40,1.612
41,1.676
42,1.708
43,1.741
44,1.773
45,1.837
46,1.870
47,1.902
48,1.934
49,1.999
50,2.031
51,2.063
52,2.096
53,2.128
54,2.192
55,2.225
56,2.257
57,2.321
58,2.354
59,2.386
60,2.418
61,2.450
62,2.515
63,2.547
64,2.579
65,2.612
66,2.676
67,2.708
68,2.741
69,2.773
70,2.837
71,2.870
72,2.902
73,2.934
74,2.999
75,3.031
76,3.063
77,3.096
78,3.160
79,3.192
80,3.225
81,3.257
82,3.321
83,3.354
84,3.386
85,3.418
86,3.483
87,3.515
88,3.547
89,3.579
90,3.644
91,3.676
92,3.708
93,3.741
94,3.805
95,3.837
96,3.870
97,3.902
98,3.966
99,3.999
100,4.031
101,4.063
102,4.128
103,4.160
104,4.192
105,4.225
106,4.289
107,4.321
108,4.354
109,4.386
110,4.450
111,4.483
112,4.515
113,4.547
114,4.612
115,4.644
116,4.676
117,4.708
118,4.773
119,4.805
120,4.837
121,4.870
122,4.934
123,4.966
124,4.999
125,5.031
126,5.096
127,5.128
128,5.160
129,5.192
130,5.257
131,5.289
132,5.321
133,5.354
134,5.418
135,5.450
136,5.483
137,5.515
138,5.579
139,5.612
140,5.644
141,5.676
142,5.741
143,5.773
144,5.805
145,5.837
146,5.902
147,5.934
148,5.966
149,5.999
150,6.063
151,6.096
152,6.128
153,6.160
154,6.192
155,6.257
156,6.289
157,6.321
158,6.354
159,6.418
160,6.450
161,6.483
162,6.515
163,6.579
164,6.612
165,6.644
166,6.676
167,6.741
168,6.773
169,6.805
170,6.837
171,6.902
172,6.934
173,6.966
174,6.999
175,7.063
176,7.096
177,7.128
178,7.160
179,7.225
180,7.257
181,7.289
182,7.321
183,7.386
184,7.418
185,7.450
186,7.483
187,7.547
188,7.579
189,7.612
190,7.644
191,7.708
192,7.741
193,7.773
194,7.805
195,7.870
196,7.902
197,7.934
198,7.966
199,8.031
200,8.063
201,8.095
202,8.128
203,8.192
204,8.225
205,8.257
206,8.289
207,8.354
208,8.386
209,8.418
210,8.450
211,8.515
212,8.547
213,8.579
214,8.612
215,8.676
216,8.708
217,8.741
218,8.773
219,8.837
220,8.870
221,8.902
222,8.934
223,8.999
224,9.031
225,9.063
226,9.095
227,9.160
228,9.192
229,9.225
230,9.257
231,9.321
232,9.354
233,9.386
234,9.418
235,9.483
236,9.515
237,9.547
238,9.579
239,9.644
240,9.676
241,9.708
242,9.741
243,9.805
244,9.837
245,9.870
246,9.902
247,9.966
248,9.999
249,10.031
250,10.063
251,10.128
252,10.160
253,10.192
254,10.225
255,10.289
256,10.321
257,10.354
258,10.386
259,10.450
260,10.483
261,10.515
262,10.547
263,10.612
264,10.644
265,10.676
266,10.708
267,10.773
268,10.805
269,10.837
270,10.870
271,10.902
272,10.966
273,10.999
274,11.031
275,11.063
276,11.128
277,11.160
278,11.192
279,11.225
280,11.289
281,11.321
282,11.354
283,11.386
284,11.450
285,11.483
286,11.515
287,11.547
288,11.612
289,11.644
290,11.708
291,11.741
292,11.773
293,11.805
294,11.837
295,11.870
296,11.934
297,11.966
298,11.999
299,12.031
300,12.095
301,12.128
302,12.160
303,12.192
304,12.257
305,12.289
306,12.321
307,12.354
308,12.418
309,12.450
310,12.483
311,12.515
312,12.579
313,12.612
314,12.644
315,12.676
316,12.741
317,12.773
318,12.805
319,12.837
320,12.902
321,12.934
322,12.966
323,12.999
324,13.063
325,13.095
326,13.128
327,13.160
328,13.225
329,13.257
330,13.289
331,13.321
332,13.386
333,13.418
334,13.450
335,13.483
336,13.547
337,13.579
338,13.612
339,13.644
340,13.708
341,13.741
342,13.773
343,13.805
344,13.870
345,13.902
346,13.934
347,13.966
348,14.031
349,14.063
350,14.095
351,14.128
352,14.192
353,14.225
354,14.257
355,14.289
356,14.354
357,14.386
358,14.418
359,14.450
360,14.483
361,14.547
362,14.579
363,14.612
364,14.644
365,14.708
366,14.741
367,14.773
368,14.805
369,14.870
370,14.902
371,14.934
372,14.999
373,15.031
374,15.063
375,15.095
376,15.160
377,15.192
378,15.225
379,15.257
380,15.321
381,15.354
382,15.418
383,15.450
384,15.515
385,15.547
386,15.612
387,15.676
388,15.708
389,15.773
390,15.805
391,15.870
392,15.902
393,15.966
394,15.999
395,16.063
396,16.128
397,16.160
398,16.225
399,16.257
400,16.321
401,16.354
402,16.418
403,16.450
404,16.515
405,16.547
406,16.612
407,16.676
408,16.708
409,16.773
