frame,time
1,0.009
2,0.041
3,0.073
4,0.138
5,0.170
6,0.202
7,0.234
8,0.267
9,0.331
10,0.363
11,0.396
12,0.460
13,0.492
14,0.525
15,0.557
16,0.589
17,0.654
18,0.686
19,0.718
20,0.750
21,0.815
22,0.847
23,0.880
24,0.912
25,0.976
26,1.009
27,1.041
28,1.073
29,1.138
30,1.170
31,1.202
32,1.234
33,1.299
34,1.331
35,1.363
36,1.396
37,1.460
38,1.492
39,1.525
40,1.557
41,1.621
42,1.654
43,1.686
44,1.718
45,1.783
46,1.815
47,1.847
48,1.880
49,1.944
50,1.976
51,2.009
52,2.041
53,2.105
54,2.138
55,2.170
56,2.202
57,2.267
58,2.299
59,2.331
60,2.363
61,2.428
62,2.460
63,2.492
64,2.525
65,2.589
66,2.621
67,2.654
68,2.686
69,2.750
70,2.783
71,2.815
72,2.847
73,2.912
74,2.944
75,2.976
76,3.009
77,3.041
78,3.105
79,3.138
80,3.170
81,3.202
82,3.267
83,3.299
84,3.331
85,3.396
86,3.428
87,3.460
88,3.492
89,3.557
90,3.589
91,3.621
92,3.654
93,3.718
94,3.750
95,3.783
96,3.815
97,3.847
98,3.912
99,3.944
100,3.976
101,4.009
102,4.073
103,4.105
104,4.138
105,4.170
106,4.234
107,4.267
108,4.299
109,4.331
110,4.396
111,4.428
112,4.460
113,4.492
114,4.557
115,4.589
116,4.621
117,4.654
118,4.718
119,4.750
120,4.783
121,4.815
122,4.880
123,4.912
124,4.944
125,4.976
126,5.041
127,5.073
128,5.105
129,5.138
130,5.202
131,5.234
132,5.267
133,5.299
134,5.363
135,5.396
136,5.428
137,5.460
138,5.525
139,5.557
140,5.589
141,5.621
142,5.686
143,5.718
144,5.750
145,5.783
146,5.847
147,5.880
148,5.912
149,5.944
150,6.009
151,6.041
152,6.073
153,6.105
154,6.170
155,6.202
156,6.234
157,6.267
158,6.331
159,6.363
160,6.396
161,6.428
162,6.492
163,6.525
164,6.557
165,6.589
166,6.621
167,6.686
168,6.718
169,6.750
170,6.815
171,6.847
172,6.880
173,6.912
174,6.976
175,7.009
176,7.041
177,7.073
178,7.138
179,7.170
180,7.202
181,7.234
182,7.299
183,7.331
184,7.396
185,7.428
186,7.492
187,7.557
188,7.589
189,7.654
190,7.686
191,7.750
192,7.783
193,7.847
