frame,time
1,0.744
2,0.777
3,0.809
4,0.873
5,0.906
6,0.970
7,1.003
8,1.035
9,1.067
10,1.099
11,1.132
12,1.196
13,1.261
14,1.293
15,1.357
16,1.390
17,1.454
18,1.486
19,1.551
20,1.583
21,1.648
22,1.712
23,1.744
24,1.809
25,1.841
26,1.906
27,1.938
28,2.003
29,2.035
30,2.099
31,2.164
32,2.196
33,2.261
34,2.293
35,2.357
36,2.390
37,2.454
38,2.486
39,2.551
40,2.615
41,2.648
42,2.712
43,2.744
44,2.809
45,2.841
46,2.906
47,2.970
48,3.003
49,3.067
50,3.099
51,3.164
52,3.196
53,3.261
54,3.293
55,3.357
56,3.390
57,3.454
58,3.519
59,3.551
60,3.615
61,3.648
62,3.712
63,3.744
64,3.809
65,3.841
66,3.906
67,3.970
68,4.003
69,4.067
70,4.099
71,4.164
72,4.196
73,4.261
74,4.293
75,4.357
76,4.390
77,4.454
78,4.519
79,4.551
80,4.615
81,4.648
82,4.777
83,4.809
84,4.841
85,4.873
86,4.906
87,4.970
88,5.003
89,5.067
90,5.099
91,5.164
92,5.196
93,5.261
94,5.293
95,5.357
96,5.422
97,5.454
98,5.519
99,5.551
100,5.615
101,5.648
102,7.067
103,7.099
104,7.132
105,7.196
106,7.228
107,7.261
108,7.293
109,7.357
110,7.390
111,7.422
112,7.454
113,7.486
114,7.519
115,7.551
116,7.583
117,7.648
118,7.680
119,7.712
120,7.744
121,7.809
122,7.841
123,7.873
124,7.906
125,7.970
126,8.002
127,8.035
128,8.067
129,8.132
130,8.164
131,8.196
132,8.228
133,8.293
134,8.325
135,8.357
136,8.390
137,8.454
138,8.486
139,8.519
140,8.551
141,8.615
142,8.648
143,8.680
144,8.712
145,8.744
146,8.809
147,8.841
148,8.873
149,8.938
150,8.970
151,9.035
152,9.067
153,9.132
154,9.196
155,9.228
156,9.293
157,9.325
158,9.390
159,9.422
160,9.486
161,9.519
162,9.583
163,9.648
164,9.680
165,9.744
166,9.777
167,9.841
168,9.873
169,9.938
170,9.970
171,10.035
172,10.099
173,10.132
174,10.196
175,10.228
176,10.293
177,10.325
178,10.390
179,10.422
180,10.486
181,10.519
182,10.583
183,10.648
184,10.680
185,10.744
186,10.777
187,10.841
188,10.873
189,10.938
190,10.970
191,11.035
192,11.099
193,11.132
194,11.196
195,11.228
196,11.293
197,11.325
198,11.390
199,11.422
200,11.486
201,11.551
202,11.583
203,11.648
204,11.680
205,11.744
206,11.777
207,11.841
208,11.873
209,11.938
210,12.002
211,12.035
212,12.099
213,12.132
214,12.196
215,12.228
216,12.293
217,12.325
218,12.390
219,12.454
220,12.486
221,12.551
222,12.583
223,12.615
224,14.002
225,14.067
226,14.099
227,14.164
228,14.196
229,14.228
230,14.293
231,14.357
232,14.390
233,14.422
234,14.486
235,14.519
236,14.551
237,14.583
238,14.648
239,14.680
240,14.744
241,14.809
242,14.841
243,14.906
244,14.938
245,15.002
246,15.035
247,15.099
248,15.132
249,15.196
250,15.261
251,15.293
252,15.357
253,15.390
254,15.454
255,15.486
256,15.551
257,15.583
258,15.648
259,15.680
260,15.744
261,15.809
262,15.841
263,15.906
264,15.938
265,16.002
266,16.035
267,16.099
268,16.132
269,16.196
270,16.261
271,16.293
272,16.357
273,16.390
274,16.454
275,16.486
276,16.551
277,16.583
278,16.648
279,16.712
280,16.744
281,16.809
282,16.841
283,16.906
284,16.938
285,17.002
286,17.035
287,17.099
288,17.164
289,17.196
290,17.261
291,17.293
292,17.357
293,17.390
294,17.454
295,17.486
296,17.551
297,17.615
298,17.648
299,17.712
300,17.744
301,17.809
302,17.841
303,17.906
304,17.938
305,18.002
306,18.035
307,18.099
308,18.164
309,18.196
310,18.261
311,18.293
312,18.357
313,18.390
314,18.454
315,18.486
316,18.551
317,18.615
318,18.648
319,18.712
320,18.744
321,18.809
322,18.841
323,18.906
324,18.938
325,19.002
326,19.067
327,19.099
328,19.164
329,19.196
330,19.261
331,19.293
332,19.357
333,19.390
334,19.454
335,19.519
336,19.551
337,19.615
338,19.648
339,19.712
340,19.744
341,19.809
342,19.841
343,19.906
344,19.970
345,20.002
346,20.067
347,20.099
348,20.164
349,20.196
350,20.261
351,20.293
352,20.357
353,20.422
354,20.454
355,20.519
356,20.551
357,20.615
358,20.648
359,20.712
360,20.744
361,20.809
362,20.873
363,20.906
364,20.970
365,21.002
366,21.067
367,21.099
368,21.164
369,21.196
370,21.261
371,21.325
372,21.357
373,21.422
374,21.454
375,21.519
376,21.551
377,21.615
378,21.648
379,21.712
380,21.744
381,21.809
382,21.873
383,21.906
384,21.970
385,22.002
386,22.067
387,22.099
388,22.164
389,22.196
390,22.261
391,22.325
392,22.357
393,22.422
394,22.454
395,22.519
396,22.551
397,22.615
398,22.648
399,22.712
400,22.777
401,22.809
402,22.841
403,22.906
404,22.938
405,22.970
406,23.002
407,23.067
408,23.099
409,23.131
410,23.164
411,23.228
412,23.261
413,23.293
414,23.325
415,23.390
416,23.422
417,23.454
418,23.519
419,23.551
420,23.583
421,23.615
422,23.648
423,23.712
424,23.744
425,23.777
426,23.809
427,23.873
428,23.906
429,23.938
430,23.970
431,24.035
432,24.067
433,24.099
434,24.131
435,24.196
436,24.228
437,24.261
438,24.293
439,24.357
440,24.390
441,24.422
442,24.454
443,24.519
444,24.551
445,24.583
446,24.615
447,24.680
448,24.712
449,24.744
450,24.777
451,24.841
452,24.873
453,24.906
454,24.938
455,25.002
