frame,time
1,0.024
2,0.057
3,0.121
4,0.153
5,0.186
6,0.218
7,0.282
8,0.315
9,0.347
10,0.379
11,0.444
12,0.476
13,0.508
14,0.540
15,0.573
16,0.637
17,0.670
18,0.702
19,0.734
20,0.799
21,0.831
22,0.863
23,0.895
24,0.960
25,0.992
26,1.024
27,1.057
28,1.121
29,1.153
30,1.186
31,1.218
32,1.282
33,1.315
34,1.347
35,1.379
36,1.444
37,1.476
38,1.508
39,1.540
40,1.605
41,1.637
42,1.669
43,1.702
44,1.766
45,1.799
46,1.831
47,1.863
48,1.928
49,1.960
50,1.992
51,2.024
52,2.089
53,2.121
54,2.153
55,2.186
56,2.250
57,2.282
58,2.315
59,2.347
60,2.411
61,2.444
62,2.476
63,2.540
64,2.573
65,2.605
66,2.637
67,2.669
68,2.734
69,2.766
70,2.799
71,2.831
72,2.895
73,2.928
74,2.960
75,2.992
76,3.057
77,3.089
78,3.121
79,3.153
80,3.218
81,3.250
82,3.282
83,3.315
84,3.379
85,3.411
86,3.444
87,3.476
88,3.540
89,3.573
90,3.605
91,3.637
92,3.702
93,3.734
94,3.766
95,3.798
96,3.863
97,3.895
98,3.928
99,3.960
100,4.024
101,4.057
102,4.089
103,4.121
104,4.186
105,4.218
106,4.250
107,4.282
108,4.315
109,4.379
110,4.411
111,4.444
112,4.476
113,4.540
114,4.573
115,4.605
116,4.637
117,4.702
118,4.734
119,4.766
120,4.798
121,4.863
122,4.895
123,4.927
124,4.992
125,5.024
126,5.057
127,5.089
128,5.121
129,5.186
130,5.218
131,5.250
132,5.315
133,5.347
134,5.379
135,5.411
136,5.476
137,5.508
138,5.540
139,5.573
140,5.637
141,5.669
142,5.702
143,5.734
144,5.798
145,5.831
146,5.863
147,5.895
148,5.960
149,5.992
150,6.024
151,6.057
152,6.121
153,6.153
154,6.186
155,6.218
156,6.250
157,6.315
158,6.347
159,6.379
160,6.411
161,6.476
162,6.508
163,6.540
164,6.573
165,6.637
166,6.669
167,6.702
168,6.734
169,6.798
170,6.831
171,6.863
172,6.895
173,6.960
174,6.992
175,7.024
176,7.056
177,7.121
178,7.153
179,7.186
180,7.218
181,7.282
182,7.315
183,7.347
184,7.379
185,7.444
186,7.476
187,7.508
188,7.540
189,7.605
190,7.637
191,7.669
192,7.702
193,7.766
194,7.798
195,7.831
196,7.863
197,7.927
198,7.960
199,7.992
200,8.024
201,8.089
202,8.121
203,8.153
204,8.185
205,8.250
206,8.282
207,8.315
208,8.347
209,8.411
210,8.444
211,8.476
212,8.508
213,8.573
214,8.605
215,8.637
216,8.669
217,8.734
218,8.766
219,8.798
220,8.831
221,8.895
222,8.927
223,8.960
224,8.992
225,9.056
226,9.089
227,9.121
228,9.153
229,9.218
230,9.250
231,9.282
232,9.314
233,9.379
234,9.411
235,9.444
236,9.476
237,9.540
238,9.573
239,9.605
240,9.637
241,9.702
242,9.734
243,9.766
244,9.798
245,9.863
246,9.895
247,9.927
248,9.960
249,10.024
250,10.056
251,10.089
252,10.121
253,10.185
254,10.218
255,10.250
256,10.282
257,10.347
258,10.379
259,10.411
260,10.444
261,10.508
262,10.540
263,10.573
264,10.605
265,10.669
266,10.702
267,10.734
268,10.766
269,10.831
270,10.863
271,10.895
272,10.927
273,10.992
274,11.024
275,11.056
276,11.089
277,11.121
278,11.185
279,11.218
280,11.250
281,11.314
282,11.347
283,11.379
284,11.411
285,11.443
286,11.508
287,11.540
288,11.573
289,11.605
290,11.669
291,11.702
292,11.734
293,11.766
294,11.831
295,11.863
296,11.895
297,11.927
298,11.992
299,12.024
300,12.056
301,12.089
302,12.153
303,12.185
304,12.218
305,12.250
306,12.314
307,12.347
308,12.379
309,12.411
310,12.476
311,12.508
312,12.540
313,12.572
314,12.637
315,12.669
316,12.702
317,12.734
318,12.798
319,12.831
320,12.863
321,12.895
322,12.960
323,12.992
324,13.024
325,13.056
326,13.121
327,13.153
328,13.185
329,13.218
330,13.282
331,13.314
332,13.347
333,13.379
334,13.443
335,13.476
336,13.508
337,13.540
338,13.605
339,13.637
340,13.669
341,13.702
342,13.766
343,13.798
344,13.831
345,13.863
346,13.927
347,13.960
348,13.992
349,14.024
350,14.089
351,14.121
352,14.153
353,14.185
354,14.250
355,14.282
356,14.314
357,14.347
358,14.411
359,14.443
