frame,time
1,0.063
2,0.095
3,0.160
4,0.224
5,0.257
6,0.321
7,0.354
8,0.418
9,0.450
10,0.515
11,0.547
12,0.612
13,0.676
14,0.708
15,0.773
16,0.805
17,0.870
18,0.902
19,0.966
20,0.999
21,1.063
22,1.128
23,1.160
24,1.225
25,1.257
26,1.321
27,1.354
28,1.418
29,1.450
30,1.515
31,1.579
32,1.612
33,1.676
34,1.708
35,1.773
36,1.805
37,1.870
38,1.902
39,1.966
40,2.031
41,2.063
42,2.160
43,2.192
44,2.225
45,2.257
46,2.321
47,2.354
48,2.418
49,2.483
50,2.515
51,2.579
52,2.612
53,2.676
54,2.708
55,2.741
56,2.805
57,2.837
58,2.902
59,2.934
60,2.999
61,3.063
62,3.096
63,3.160
64,3.192
65,3.257
66,3.289
67,3.354
68,3.386
69,3.450
70,3.515
71,3.547
72,3.612
73,3.644
74,3.708
75,3.741
76,3.805
77,3.838
78,3.902
79,3.934
80,3.999
81,4.063
82,4.096
83,4.160
84,4.192
85,4.257
86,4.289
87,4.354
88,4.418
89,4.450
90,4.515
91,4.547
92,4.612
93,4.644
94,4.709
95,4.741
96,4.805
97,4.838
98,4.902
99,4.967
100,4.999
101,5.063
102,5.096
103,5.160
104,5.192
105,5.257
106,5.289
107,5.354
108,5.418
109,5.450
110,5.515
111,5.547
112,5.612
113,5.644
114,5.709
115,5.741
116,5.805
117,5.870
118,5.902
119,5.967
120,5.999
121,6.063
122,6.096
123,6.160
124,6.192
125,6.257
126,6.321
127,6.354
128,6.418
129,6.450
130,6.515
131,6.547
132,6.612
133,6.644
134,6.709
135,6.773
136,6.805
137,6.870
138,6.902
139,6.967
140,6.999
141,7.063
142,7.096
143,7.160
144,7.225
145,7.257
146,7.321
147,7.354
148,7.418
149,7.451
150,7.515
151,7.547
152,7.612
153,7.676
154,7.709
155,7.773
156,7.805
157,7.870
158,7.902
159,7.967
160,7.999
161,8.063
162,8.096
163,8.160
164,8.225
165,8.257
166,8.322
167,8.354
168,8.418
169,8.451
170,8.515
171,8.547
172,8.612
173,8.676
174,8.709
175,8.773
176,8.805
177,8.870
178,8.902
179,8.967
180,8.999
181,9.063
182,9.128
183,9.160
184,9.225
185,9.257
186,9.322
187,9.354
188,9.418
189,9.451
190,9.515
191,9.580
192,9.612
193,9.676
194,9.709
195,9.773
196,9.805
197,9.870
198,9.902
199,9.967
200,10.031
201,10.063
202,10.128
203,10.160
204,10.225
205,10.257
206,10.322
207,10.354
208,10.418
209,10.483
210,10.515
211,10.580
212,10.612
213,10.676
214,10.709
215,10.773
216,10.805
217,10.870
218,10.934
219,10.967
220,11.031
221,11.064
222,11.128
223,11.160
224,11.225
225,11.257
226,11.322
