frame,time
1,0.020
2,0.084
3,0.117
4,0.149
5,0.181
6,0.246
7,0.278
8,0.310
9,0.342
10,0.407
11,0.439
12,0.471
13,0.504
14,0.568
15,0.600
16,0.633
17,0.665
18,0.729
19,0.762
20,0.794
21,0.826
22,0.891
23,0.923
24,0.955
25,0.988
26,1.052
27,1.084
28,1.117
29,1.149
30,1.213
31,1.246
32,1.278
33,1.310
34,1.375
35,1.407
36,1.439
37,1.471
38,1.536
39,1.568
40,1.600
41,1.633
42,1.697
43,1.729
44,1.762
45,1.794
46,1.858
47,1.891
48,1.923
49,1.955
50,2.020
51,2.052
52,2.084
53,2.117
54,2.181
55,2.213
56,2.246
57,2.278
58,2.310
59,2.375
60,2.407
61,2.439
62,2.504
63,2.536
64,2.568
65,2.600
66,2.665
67,2.697
68,2.729
69,2.762
70,2.794
71,2.858
72,2.891
73,2.923
74,2.988
75,3.020
76,3.052
77,3.084
78,3.117
79,3.181
80,3.213
81,3.246
82,3.278
83,3.342
84,3.375
85,3.407
86,3.439
87,3.504
88,3.536
89,3.568
90,3.600
91,3.665
92,3.697
93,3.729
94,3.762
95,3.826
96,3.858
97,3.891
98,3.923
99,3.988
100,4.020
101,4.052
102,4.084
103,4.149
104,4.181
105,4.213
106,4.246
107,4.310
108,4.342
109,4.375
110,4.407
111,4.471
112,4.504
113,4.536
114,4.568
115,4.633
116,4.665
117,4.697
118,4.762
119,4.794
120,4.826
121,4.858
122,4.891
123,4.955
124,4.988
125,5.020
126,5.052
127,5.117
128,5.149
129,5.181
130,5.213
131,5.278
132,5.310
133,5.342
134,5.375
135,5.439
136,5.471
137,5.504
138,5.536
139,5.600
140,5.633
141,5.665
142,5.697
143,5.762
144,5.794
145,5.826
146,5.858
147,5.923
148,5.955
149,5.988
150,6.020
151,6.084
152,6.117
153,6.149
154,6.181
155,6.213
156,6.278
157,6.310
158,6.342
159,6.375
160,6.439
161,6.471
162,6.504
163,6.568
164,6.600
165,6.633
166,6.665
167,6.697
168,6.762
169,6.794
170,6.826
171,6.858
172,6.923
173,6.955
174,6.988
175,7.020
176,7.084
177,7.117
178,7.149
179,7.181
180,7.246
181,7.278
182,7.310
183,7.342
184,7.407
185,7.439
186,7.471
187,7.504
188,7.568
189,7.600
190,7.633
191,7.665
192,7.729
193,7.762
194,7.826
195,7.858
196,7.891
197,7.923
198,7.955
199,7.988
200,8.052
201,8.084
202,8.117
203,8.149
204,8.213
205,8.246
206,8.278
207,8.310
208,8.375
209,8.407
210,8.439
211,8.471
212,8.536
213,8.568
214,8.600
215,8.633
216,8.697
217,8.729
218,8.762
219,8.794
220,8.858
221,8.891
222,8.923
223,8.955
224,9.020
225,9.052
226,9.084
227,9.117
228,9.181
229,9.213
230,9.246
231,9.278
232,9.342
233,9.375
234,9.407
235,9.439
236,9.504
237,9.536
238,9.568
239,9.600
240,9.665
241,9.697
242,9.729
243,9.762
244,9.794
245,9.858
246,9.891
247,9.923
248,9.955
249,10.020
250,10.052
251,10.084
252,10.117
253,10.181
254,10.213
255,10.246
256,10.278
257,10.342
258,10.375
259,10.407
260,10.439
261,10.504
262,10.536
263,10.568
264,10.600
265,10.665
266,10.697
267,10.729
268,10.762
269,10.826
270,10.858
271,10.891
272,10.923
273,10.987
274,11.020
275,11.052
276,11.084
277,11.149
278,11.181
279,11.213
280,11.246
281,11.310
282,11.342
283,11.375
284,11.407
285,11.471
286,11.504
287,11.536
288,11.568
289,11.633
290,11.665
291,11.697
292,11.729
293,11.794
294,11.826
295,11.858
296,11.891
297,11.955
298,11.987
299,12.020
300,12.052
301,12.117
302,12.149
303,12.181
304,12.213
305,12.278
306,12.310
307,12.342
308,12.375
309,12.439
310,12.471
311,12.504
312,12.536
313,12.600
314,12.633
315,12.665
316,12.697
317,12.762
318,12.794
319,12.923
320,12.955
321,12.987
322,13.052
323,13.084
324,13.117
325,13.149
326,13.181
327,13.213
328,13.246
329,13.278
330,13.310
331,13.342
332,13.375
333,13.439
334,13.471
335,13.504
336,13.568
337,13.600
338,13.633
339,13.665
340,13.697
341,13.762
342,13.794
343,13.826
344,13.858
345,13.923
346,13.955
347,13.987
348,14.020
349,14.084
350,14.117
351,14.149
352,14.181
353,14.246
354,14.278
355,14.310
356,14.342
357,14.407
358,14.439
359,14.471
360,14.504
361,14.568
362,14.600
363,14.633
364,14.665
365,14.729
366,14.762
367,14.794
368,14.826
369,14.891
370,14.923
371,14.955
372,14.987
373,15.052
374,15.084
375,15.117
376,15.149
377,15.213
378,15.246
379,15.278
380,15.310
381,15.375
382,15.407
383,15.439
384,15.471
385,15.536
386,15.568
387,15.600
388,15.633
389,15.697
390,15.729
391,15.762
392,15.794
393,15.858
394,15.891
395,15.923
396,15.955
397,16.020
398,16.052
399,16.084
400,16.117
401,16.181
402,16.213
403,16.246
404,16.278
405,16.342
406,16.375
407,16.407
408,16.439
409,16.504
410,16.536
411,16.568
412,16.600
413,16.665
414,16.697
415,16.729
416,16.762
417,16.826
418,16.858
419,16.891
420,16.923
421,16.987
422,17.020
423,17.052
424,17.084
425,17.149
426,17.181
427,17.213
428,17.246
429,17.278
430,17.342
431,17.375
432,17.407
433,17.439
434,17.504
435,17.536
436,17.568
437,17.600
438,17.665
439,17.697
440,17.729
441,17.762
442,17.826
443,17.858
444,17.891
445,17.923
446,17.987
447,18.020
448,18.052
449,18.084
450,18.149
451,18.181
452,18.213
453,18.278
454,18.310
455,18.342
456,18.375
457,18.407
458,18.471
459,18.504
460,18.536
461,18.568
462,18.633
463,18.665
464,18.697
465,18.729
466,18.794
467,18.826
468,18.858
469,18.891
470,18.955
471,18.987
472,19.020
473,19.052
474,19.117
475,19.149
476,19.181
477,19.213
478,19.278
479,19.310
480,19.342
481,19.375
482,19.439
483,19.471
484,19.504
485,19.536
486,19.600
487,19.633
488,19.665
489,19.697
490,19.762
491,19.794
492,19.826
493,19.858
494,19.923
495,19.955
496,19.987
497,20.020
498,20.084
499,20.117
500,20.149
501,20.181
502,20.246
503,20.278
504,20.342
505,20.375
506,20.407
507,20.439
508,20.471
509,20.504
510,20.568
511,20.600
512,20.633
513,20.665
514,20.729
515,20.762
516,20.794
517,20.826
518,20.858
519,20.923
520,20.955
521,20.987
522,21.020
523,21.084
524,21.117
525,21.149
526,21.181
527,21.246
528,21.278
529,21.310
530,21.342
531,21.407
532,21.439
533,21.471
534,21.504
535,21.568
536,21.600
537,21.633
538,21.665
539,21.729
540,21.762
541,21.794
542,21.826
543,21.891
544,21.923
545,21.955
546,21.987
547,22.052
548,22.084
549,22.117
550,22.149
551,22.213
552,22.246
553,22.278
554,22.310
555,22.375
556,22.407
557,22.439
558,22.504
559,22.536
560,22.568
561,22.600
562,22.633
563,22.697
564,22.729
565,22.762
566,22.794
567,22.858
568,22.891
569,22.923
570,22.955
571,23.020
572,23.052
573,23.084
574,23.117
575,23.181
576,23.213
577,23.246
578,23.278
579,23.342
580,23.375
581,23.407
582,23.439
583,23.504
584,23.536
585,23.568
586,23.600
587,23.665
588,23.697
589,23.729
590,23.762
591,23.826
592,23.858
593,23.891
594,23.923
595,23.987
596,24.020
597,24.052
598,24.084
599,24.117
600,24.181
601,24.213
602,24.246
603,24.278
604,24.342
605,24.375
606,24.407
607,24.471
608,24.504
609,24.536
610,24.568
611,24.600
612,24.665
613,24.697
614,24.729
615,24.794
616,24.826
617,24.858
618,24.891
619,24.923
620,24.987
621,25.020
622,25.052
623,25.084
624,25.149
625,25.181
626,25.213
627,25.246
628,25.310
629,25.342
630,25.375
631,25.407
632,25.471
633,25.504
634,25.536
635,25.568
636,25.633
637,25.665
638,25.697
639,25.729
640,25.794
641,25.826
642,25.858
643,25.891
644,25.955
645,25.987
646,26.020
647,26.052
648,26.116
649,26.149
650,26.181
651,26.213
652,26.278
653,26.310
654,26.342
655,26.375
656,26.439
657,26.471
658,26.504
659,26.536
660,26.600
661,26.633
662,26.665
663,26.697
664,26.762
665,26.794
666,26.826
667,26.858
668,26.923
669,26.955
670,26.987
671,27.020
672,27.084
673,27.116
674,27.149
675,27.181
676,27.246
677,27.278
678,27.310
679,27.342
680,27.407
681,27.439
682,27.471
683,27.504
684,27.568
685,27.600
686,27.633
687,27.665
688,27.729
689,27.762
690,27.794
691,27.826
692,27.858
693,27.923
694,27.955
695,27.987
696,28.052
697,28.084
698,28.116
699,28.149
700,28.181
701,28.246
702,28.278
703,28.310
704,28.342
705,28.407
706,28.439
707,28.471
708,28.504
709,28.568
710,28.600
711,28.633
712,28.665
713,28.729
714,28.762
715,28.794
716,28.826
717,28.891
718,28.923
719,28.955
720,28.987
721,29.052
722,29.084
723,29.116
724,29.149
725,29.213
726,29.246
727,29.278
728,29.310
729,29.375
730,29.407
731,29.439
732,29.471
733,29.536
734,29.568
735,29.600
736,29.633
737,29.697
738,29.729
739,29.762
740,29.794
741,29.858
742,29.891
743,29.923
744,29.955
745,30.020
746,30.052
