frame,time
533,22.684
534,22.717
535,22.749
536,22.781
537,22.846
538,22.878
539,22.910
540,22.942
541,23.007
542,23.039
543,23.071
544,23.104
545,23.168
546,23.200
547,23.233
548,23.265
549,23.329
550,23.362
551,23.394
552,23.426
553,23.491
554,23.523
555,23.555
556,23.588
557,23.652
558,23.781
559,23.813
560,23.846
561,23.878
562,23.910
563,23.942
564,23.975
565,24.007
566,24.039
567,24.072
568,24.136
569,24.168
570,24.201
571,24.233
572,24.265
573,24.330
574,24.362
575,24.394
576,24.426
577,24.491
578,24.523
579,24.555
580,24.588
581,24.652
582,24.684
583,24.717
584,24.749
585,24.814
586,24.846
587,24.878
588,24.910
589,24.975
590,25.007
591,25.039
592,25.072
593,25.136
594,25.168
595,25.201
596,25.233
597,25.297
598,25.330
599,25.362
600,25.394
601,25.459
602,25.491
603,25.523
604,25.556
605,25.620
606,25.652
607,25.685
608,25.717
609,25.781
610,25.814
611,25.846
612,25.878
613,25.943
614,25.975
615,26.007
616,26.039
617,26.104
618,26.136
619,26.168
620,26.201
621,26.265
622,26.298
623,26.330
624,26.362
625,26.427
626,26.459
627,26.491
628,26.523
629,26.588
630,26.620
631,26.652
632,26.717
633,26.749
634,26.781
635,26.814
636,26.846
637,26.910
638,26.943
639,26.975
640,27.007
641,27.072
642,27.104
643,27.136
644,27.169
645,27.233
646,27.265
647,27.298
648,27.330
649,27.394
650,27.427
651,27.459
652,27.491
653,27.556
654,27.588
655,27.620
656,27.652
657,27.717
658,27.749
659,27.782
660,27.814
661,27.878
662,27.911
663,27.943
664,27.975
665,28.040
666,28.072
667,28.104
668,28.136
669,28.201
670,28.233
671,28.265
672,28.298
673,28.362
674,28.394
675,28.427
676,28.459
677,28.524
678,28.556
679,28.588
680,28.620
681,28.685
682,28.717
683,28.749
684,28.782
685,28.846
686,28.878
687,28.911
688,28.943
689,29.007
690,29.040
691,29.072
692,29.104
693,29.136
694,29.201
695,29.233
696,29.266
697,29.330
698,29.362
699,29.395
700,29.427
701,29.459
702,29.524
703,29.556
704,29.588
705,29.620
706,29.685
707,29.717
708,29.749
709,29.782
710,29.846
711,29.878
712,29.911
713,29.975
714,30.008
715,30.040
716,30.072
717,30.104
718,30.169
719,30.201
720,30.233
721,30.266
722,30.330
723,30.362
724,30.395
725,30.427
726,30.491
727,30.524
728,30.556
729,30.588
730,30.653
731,30.685
732,30.717
733,30.750
734,30.814
735,30.846
736,30.879
737,30.943
738,31.008
739,31.040
740,31.104
741,31.137
742,31.201
743,31.233
744,31.298
745,31.330
746,31.395
747,31.459
748,31.492
749,31.556
750,31.588
751,31.653
752,31.685
753,31.750
754,31.782
755,31.846
756,31.911
757,31.943
758,32.008
759,32.040
760,32.104
761,32.137
762,32.201
763,32.234
764,32.298
765,32.363
766,32.395
767,32.459
768,32.492
769,32.556
770,32.588
771,32.653
772,32.685
773,32.750
774,32.814
775,32.846
776,32.911
777,32.943
778,33.008
779,33.040
780,33.105
781,33.137
782,33.201
783,33.266
784,33.298
785,33.363
786,33.395
787,33.459
788,33.492
789,33.556
790,33.588
791,33.653
792,33.685
793,33.750
794,33.814
795,33.847
796,33.911
797,33.943
798,34.008
799,34.040
800,34.105
801,34.137
802,34.201
803,34.266
804,34.298
805,34.363
806,34.395
807,34.460
808,34.492
809,34.556
810,34.589
811,34.653
812,34.718
813,34.750
814,34.814
815,34.847
816,34.911
817,34.943
818,35.008
819,35.040
820,35.105
821,35.169
822,35.202
823,35.266
824,35.298
825,35.363
826,35.395
827,35.460
828,35.492
829,35.556
830,35.621
831,35.653
832,35.718
833,35.750
834,35.815
835,35.847
836,35.911
837,35.944
838,36.008
839,36.073
840,36.105
841,36.137
842,36.169
843,36.234
844,36.266
845,36.298
846,36.331
847,36.395
848,36.427
849,36.492
850,36.524
851,36.589
852,36.621
853,36.686
854,36.718
855,36.782
856,36.815
857,36.879
858,36.944
859,36.976
860,37.040
861,37.073
862,37.137
863,37.169
864,37.234
865,37.266
866,37.331
867,37.395
868,37.428
869,37.492
870,37.524
871,37.589
872,37.621
873,37.686
874,37.718
875,37.782
876,37.847
877,37.879
878,37.944
879,37.976
880,38.041
881,38.073
882,38.137
883,38.170
884,38.234
885,38.299
886,38.331
887,38.395
888,38.428
889,38.492
890,38.524
891,38.589
892,38.621
893,38.686
894,38.750
895,38.783
896,38.847
897,38.879
898,38.944
899,38.976
900,39.041
901,39.073
902,39.137
903,39.202
904,39.234
905,39.299
906,39.331
907,39.395
908,39.428
909,39.492
910,39.525
911,39.589
912,39.654
913,39.686
914,39.750
915,39.783
916,39.847
917,39.879
918,39.944
919,39.976
920,40.041
921,40.073
922,40.137
923,40.202
924,40.234
925,40.299
926,40.331
927,40.396
928,40.428
929,40.492
930,40.525
931,40.589
932,40.654
933,40.686
934,40.750
935,40.783
936,40.847
937,40.879
938,40.944
939,40.976
940,41.041
941,41.105
942,41.138
943,41.202
944,41.234
945,41.299
946,41.331
947,41.396
948,41.460
949,41.492
950,41.557
951,41.589
952,41.654
953,41.686
954,41.751
955,41.783
956,41.847
957,41.880
958,41.944
959,42.009
960,42.041
961,42.105
962,42.138
963,42.202
964,42.234
965,42.299
966,42.331
967,42.396
968,42.460
969,42.493
970,42.557
971,42.589
972,42.654
973,42.686
974,42.751
975,42.783
976,42.847
977,42.912
978,42.944
979,42.976
980,43.009
981,43.073
982,43.105
983,43.138
984,43.170
985,43.235
986,43.267
987,43.299
988,43.331
989,43.396
990,43.428
991,43.460
992,43.493
993,43.557
994,43.589
995,43.622
996,43.654
997,43.718
998,43.751
999,43.783
1000,43.815
1001,43.880
1002,43.912
1003,43.944
1004,44.009
1005,44.041
