frame,time
1,0.063
2,0.095
3,0.128
4,0.160
5,0.224
6,0.257
7,0.289
8,0.321
9,0.386
10,0.418
11,0.450
12,0.482
13,0.547
14,0.579
15,0.611
16,0.644
17,0.708
18,0.740
19,0.773
20,0.805
21,0.870
22,0.902
23,0.934
24,0.966
25,1.031
26,1.063
27,1.095
28,1.128
29,1.192
30,1.224
31,1.257
32,1.289
33,1.321
34,1.386
35,1.418
36,1.450
37,1.515
38,1.547
39,1.579
40,1.611
41,1.676
42,1.708
43,1.741
44,1.773
45,1.837
46,1.870
47,1.902
48,1.934
49,1.999
50,2.031
51,2.063
52,2.095
53,2.160
54,2.192
55,2.224
56,2.257
57,2.321
58,2.353
59,2.386
60,2.418
61,2.482
62,2.515
63,2.547
64,2.579
65,2.644
66,2.676
67,2.708
68,2.741
69,2.805
70,2.837
71,2.870
72,2.902
73,2.934
74,2.999
75,3.031
76,3.063
77,3.128
78,3.160
79,3.192
80,3.224
81,3.257
82,3.321
83,3.353
84,3.386
85,3.418
86,3.483
87,3.515
88,3.547
89,3.612
90,3.644
91,3.676
92,3.708
93,3.741
94,3.805
95,3.837
96,3.870
97,3.934
98,3.966
99,3.999
100,4.031
101,4.095
102,4.128
103,4.160
104,4.192
105,4.257
106,4.289
107,4.321
108,4.353
109,4.418
110,4.450
111,4.483
112,4.515
113,4.579
114,4.612
115,4.644
116,4.676
117,4.741
118,4.773
119,4.805
120,4.837
121,4.902
122,4.934
123,4.999
124,5.031
125,5.063
126,5.095
127,5.128
128,5.160
129,5.192
130,5.257
131,5.289
132,5.321
133,5.354
134,5.418
135,5.450
136,5.483
137,5.515
138,5.579
139,5.612
140,5.644
141,5.676
142,5.741
143,5.773
144,5.805
145,5.837
146,5.902
147,5.934
148,5.966
149,5.999
150,6.063
151,6.095
152,6.128
153,6.160
154,6.225
155,6.257
156,6.289
157,6.321
158,6.386
159,6.418
160,6.450
161,6.483
162,6.547
163,6.579
164,6.612
165,6.644
166,6.708
167,6.741
168,6.773
169,6.805
170,6.870
171,6.902
172,6.934
173,6.966
174,7.031
175,7.063
176,7.096
177,7.128
178,7.192
179,7.225
180,7.257
181,7.289
182,7.354
183,7.386
184,7.418
185,7.450
186,7.515
187,7.547
188,7.579
189,7.612
190,7.676
191,7.708
192,7.741
193,7.805
194,7.837
195,7.902
196,7.934
197,7.999
198,8.031
199,8.063
200,8.128
201,8.160
202,8.192
203,8.225
204,8.289
205,8.321
206,8.354
207,8.386
208,8.450
209,8.483
210,8.515
211,8.547
212,8.579
213,8.644
214,8.676
215,8.708
216,8.741
217,8.805
218,8.838
219,8.870
220,8.902
221,8.967
222,8.999
223,9.031
224,9.063
225,9.128
226,9.160
