name,time
manu,00:00:03.7
manu,00:00:06.5
manu,00:01:42.8
car,00:01:55.1
car,00:02:11.0
car,00:02:29.5
car,00:03:26.6
manu,00:03:27.8
car,00:03:36.0
car,00:03:39.1
car,00:05:01.9
brush,00:07:25.6
brush,00:07:27.6
tima,00:07:30.5
brush,00: 07:40.1
brush,00:08:19.7
brush,00:08:25.8
brush,00:08:28.0
brush,00:08:41.7
brush,00:09:17.7
brush,00:09:18.0
brush,00:09:18.2
brush,00:09:19.2
brush,00:09:19.5
brush,00:09:19.7
tima,00:09:41.6
tima,00:09:44.9
brush,00:09:45.4
ball,00:09:47.7
zem,00:09:48.1
manu,00:09:58.6
car,00:09:59.2
brush,00:10:04.4
car,00:10:07.8
ball,00:10:10.7
zem,00:10:12.9
manu,00:10:15.6
manu,00:10:18.1
tima,00:10:22.1
zem,00:10:31.4
zem,00:10:33.0
ball,00:10:38.5
ball,00:10:40.0
ball,00:11:39.7
ball,00:11:41.1
ball,00:11:44.2
ball,00:11:47.7
