name,time
gimo,00:00:01.6
cat,00:00:14.7
gimo,00:00:18.5
cat,00:00:19.6
gimo,00:00:26.6
gimo,00:00:37.4
gimo,00:00:43.8
gimo,00:00:46.7
kittycat,00:00:57.4
cat,00:01:01.1
gimo,00:01:03.7
gimo,00:01:08.1
gimo,00:01:19.8
cat,00:01:21.2
gimo,00:01:46.2
cat,00:01:46.8
gimo,00:01:55.0
gimo,00:01:57.5
gimo,00:02:05.7
cat,00:02:14.7
cat,00:02:15.6
cat,00:02:16.4
cat,00:02:18.2
gimo,00:02:19.2
bobcat,00:02:31.1
gimo,00:02:33.7
cat,00:03:02.6
cat,00:03:07.0
cat,00:03:08.4
gimo,00:03:08.9
gimo,00:03:14.7
cat,00:03:17.2
cat,00:03:25.7
gimo,00:03:29.3
gimo,00:03:31.1
cat,00:03:32.7
cat,00:03:36.2
gimo,00:03:47.3
gimo,00:03:48.6
brush,00:03:50.8
tima,00:03:53.8
tima,00:03:55.4
brush,00:03:55.6
tima,00:04:02.8
tima,00:04:03.5
brush,00:04:06.1
brush,00:04:10.6
brush,00:04:12.2
brush,00:04:14.3
brush,00:04:18.4
brush,00:04:20.1
tima,00:04:25.1
brush,00:04:59.7
brush,00:05:02.4
tima,00:05:03.7
brush,00:05:13.2
brush,00:05:16.6
brush,00:05:17.7
brush,00:05:23.8
brush,00:05:41.3
tima,00:05:50.0
tima,00:05:51.9
brush,00:05:52.7
ball,00:06:10.0
zem,00:06:11.2
ball,00:06:17.1
ball,00:06:33.9
zem,00:06:36.8
zem,00:06:40.6
ball,00:06:51.7
zem,00:07:02.3
gimo,00:07:11.8
gimo,00:07:13.5
gimo,00:07:27.1
cat,00:07:29.6
gimo,00:07:32.5
gimo,00:07:59.2
gimo,00:09:18.7
cat,00:09:21.0
