name,time
ball,00:00:11.6
zem,00:00:20.0
zem,00:00:22.7
zem,00:00:34.4
ball,00:00:35.8
zem,00:00:37.5
ball,00:00:47.4
ball,00:00:52.9
ball,00:01:17.9
zem,00:01:30.4
zem,00:01:47.6
zem,00:01:55.6
zem,00:02:18.7
zem,00:02:22.1
ball,00:02:42.8
ball,00:02:43.9
ball,00:02:49.2
ball,00:02:58.1
ball,00:03:04.8
ball,00:03:22.9
zem,00:03:24.1
ball,00:03:27.1
ball,00:03:29.6
zem,00:03:46.7
car,00:04:23.4
manu,00:04:26.8
manu,00:04:30.5
manu,00:04:39.1
manu,00:06:54.9
manu,00:07:06.2
car,00:07:18.7
car,00:07:23.5
car,00:07:36.2
manu,00:07:52.4
manu,00:08:05.8
car,00:08:31.6
manu,00:08:32.3
car,00:08:44.8
manu,00:08:46.3
tima,00:08:49.1
tima,00:08:52.1
tima,00:08:56.9
tima,00:09:00.7
tima,00:09:07.6
tima,00:09:13.5
brush,00:09:26.7
brush,00:09:28.1
brush,00:09:34.2
tima,00:09:35.8
brush,00:09:46.8
brush,00:10:14.4
tima,00:10:17.1
brush,00:10:18.1
brush,00:10:18.4
brush,00:10:18.9
brush,00:10:19.2
brush,00:10:21.3
brush,00:10:22.0
brush,00:10:22.2
brush,00:10:24.2
brush,00:10:25.1
brush,00:10:25.3
brush,00:10:25.6
brush,00:10:49.7
brush,00:11:07.2
tima,00:11:30.0
tima,00:11:31.2
tima,00:11:32.1
tima,00:11:37.2
brush,00:11:41.4
tima,00:12:37.4
tima,00:12:46.5
tima,00:14:15.7
brush,00:14:21.0
ball,00:14:30.2
zem,00:14:37.2
zem,00:14:41.0
zem,00:14:45.7
zem,00:15:14.4
zem,00:15:18.0
zem,00:15:35.5
ball,00:15:40.0
zem,00:15:42.7
ball,00:15:43.3
ball,00:15:50.2
ball,00:16:11.5
ball,00:16:15.2
ball,00:16:27.8
ball,00:16:36.0
zem,00:16:55.2
zem,00:16:57.9
ball,00:17:18.1
ball,00:17:23.6
car,00:17:40.4
manu,00:17:44.2
car,00:17:49.6
car,00:17:50.2
car,00:17:56.8
car,00:18:02.3
manu,00:18:56.9
car,00:19:04.6
car,00:19:05.3
car,00:19:16.4
car,00:19:19.6
